Channel,Stage
Email,Visitor
Facebook,Visitor
Email,Lead
Email,Visitor
Facebook,Visitor
Facebook,Visitor
Email,Visitor
Google Ads,Visitor
Email,Visitor
Email,Visitor
Email,Visitor
Email,Lead
Facebook,Lead
Email,Visitor
Google Ads,Lead
Facebook,Visitor
Google Ads,Visitor
Google Ads,Lead
Google Ads,Visitor
Google Ads,Visitor
Facebook,Visitor
Facebook,Visitor
Google Ads,Lead
Google Ads,Lead
Facebook,Lead
Facebook,Lead
Facebook,Visitor
Email,Visitor
Email,Visitor
Email,Visitor
Google Ads,Visitor
Email,Customer
Google Ads,Visitor
Google Ads,Visitor
Email,Visitor
Google Ads,Visitor
Email,Lead
Email,Visitor
Facebook,Visitor
Email,Lead
Facebook,Visitor
Email,Visitor
Email,Visitor
Facebook,Lead
Facebook,Visitor
Email,Lead
Google Ads,Lead
Facebook,Visitor
Google Ads,Customer
Google Ads,Lead
Google Ads,Lead
Facebook,Lead
Google Ads,Visitor
Facebook,Visitor
Google Ads,Visitor
Email,Visitor
Email,Visitor
Facebook,Lead
Email,Lead
Email,Visitor
Google Ads,Lead
Facebook,Lead
Google Ads,Visitor
Google Ads,Visitor
Google Ads,Visitor
Google Ads,Lead
Google Ads,Visitor
Google Ads,Visitor
Google Ads,Visitor
Facebook,Lead
Email,Lead
Google Ads,Lead
Google Ads,Customer
Google Ads,Lead
Google Ads,Customer
Google Ads,Customer
Google Ads,Lead
Email,Visitor
Email,Visitor
Google Ads,Visitor
Email,Visitor
Facebook,Visitor
Google Ads,Visitor
Facebook,Customer
Facebook,Lead
Google Ads,Lead
Email,Visitor
Facebook,Visitor
Google Ads,Visitor
Facebook,Visitor
Facebook,Visitor
Facebook,Visitor
Facebook,Customer
Email,Lead
Facebook,Visitor
Facebook,Visitor
Facebook,Visitor
Email,Visitor
Facebook,Customer
Facebook,Visitor
Email,Visitor
Email,Visitor
Email,Visitor
Facebook,Visitor
Email,Lead
Email,Visitor
Facebook,Visitor
Email,Visitor
Facebook,Visitor
Google Ads,Lead
Email,Visitor
